ID,AGE,GENDER,ANNUAL_INCOME,CREDIT_SCORE,EMPLOYMENT_STATUS,EMPLOYMENT_YEARS,EDUCATION_TYPE,FAMILY_STATUS,HOUSING_TYPE,MONTHLY_DEBT,EXISTING_ACCOUNTS,REQUESTED_CREDIT_LIMIT
100000,23,F,704900.0,703,Salaried,3.0,High School,Single,Owned,10700.0,5,200000
100001,62,F,391400.0,586,Salaried,6.1,Graduate,Married,Owned,2800.0,5,25000
100002,55,M,662300.0,798,Salaried,9.8,Post Graduate,Married,Owned,8700.0,4,50000
100003,43,F,417400.0,756,Salaried,9.1,Post Graduate,Married,Living with Parents,5100.0,6,150000
100004,42,M,771700.0,775,Salaried,12.3,Graduate,Married,Rented,13800.0,0,25000
100005,66,F,850000.0,820,Salaried,13.2,High School,Single,Owned,15100.0,4,300000
100006,22,F,254200.0,636,Salaried,0.0,High School,Married,Owned,3800.0,6,150000
100007,57,M,791000.0,777,Salaried,16.1,Professional Degree,Married,Company Provided,20600.0,0,100000
100008,29,M,527600.0,641,Self-employed,4.8,Graduate,Single,Rented,4500.0,3,100000
100009,23,F,826600.0,744,Self-employed,0.0,Graduate,Married,Rented,18500.0,7,75000
100010,48,M,901700.0,770,Salaried,10.0,Graduate,Married,Owned,20400.0,2,200000
100011,73,F,644800.0,763,Salaried,17.8,Post Graduate,Single,Owned,10000.0,0,150000
100012,59,F,11600.0,807,Salaried,11.3,Post Graduate,Divorced,Living with Parents,200.0,3,25000
100013,61,F,897200.0,644,Self-employed,10.4,High School,Married,Living with Parents,17600.0,4,50000
100014,58,M,781700.0,783,Self-employed,10.2,Post Graduate,Widowed,Rented,8800.0,0,300000
100015,62,F,580600.0,775,Salaried,12.2,High School,Single,Living with Parents,5800.0,3,500000
100016,47,F,20000.0,580,Unemployed,0.0,Graduate,Single,Owned,200.0,5,300000
100017,25,M,270400.0,620,Retired,4.5,Post Graduate,Married,Living with Parents,4100.0,7,50000
100018,65,M,110600.0,550,Retired,7.7,High School,Single,Owned,1100.0,5,300000
100019,43,M,546400.0,726,Self-employed,8.3,High School,Single,Owned,4700.0,0,200000
100020,46,M,696700.0,892,Salaried,9.9,Graduate,Married,Living with Parents,4500.0,7,50000
100021,39,F,0.0,608,Unemployed,0.0,Professional Degree,Widowed,Living with Parents,0.0,5,200000
100022,28,M,555500.0,735,Retired,1.8,High School,Divorced,Living with Parents,5000.0,6,300000
100023,70,F,487800.0,558,Retired,19.9,Graduate,Married,Rented,4500.0,2,200000
100024,62,M,343000.0,783,Retired,17.2,Graduate,Single,Living with Parents,4800.0,0,500000
100025,54,M,502300.0,647,Retired,9.7,Graduate,Married,Rented,4100.0,3,300000
100026,40,M,433900.0,695,Self-employed,6.4,Graduate,Single,Owned,7200.0,2,200000
100027,64,F,957200.0,780,Salaried,16.1,Graduate,Single,Rented,25300.0,3,150000
100028,49,F,754400.0,637,Salaried,13.1,Post Graduate,Married,Rented,16300.0,7,150000
100029,43,M,585600.0,900,Self-employed,5.1,Graduate,Married,Rented,3700.0,2,500000
100030,43,F,596600.0,713,Self-employed,4.4,Professional Degree,Married,Living with Parents,6800.0,2,100000
100031,30,M,767500.0,808,Salaried,4.4,Post Graduate,Divorced,Rented,3700.0,7,150000
100032,23,M,398300.0,813,Salaried,0.0,High School,Married,Owned,5800.0,7,75000
100033,49,M,0.0,650,Student,2.0,Post Graduate,Divorced,Owned,0.0,5,500000
100034,68,F,244800.0,632,Salaried,12.5,Graduate,Married,Living with Parents,3500.0,0,500000
100035,21,F,384200.0,700,Salaried,2.2,High School,Married,Owned,2400.0,7,25000
100036,66,F,636800.0,612,Self-employed,19.1,Graduate,Divorced,Living with Parents,5700.0,0,50000
100037,65,M,700100.0,725,Salaried,12.0,Graduate,Married,Owned,13800.0,6,300000
100038,33,M,438000.0,840,Salaried,4.1,High School,Married,Owned,7000.0,5,150000
100039,54,F,108900.0,608,Self-employed,11.3,Graduate,Married,Living with Parents,800.0,3,200000
100040,27,M,40000.0,557,Unemployed,0.0,Graduate,Married,Rented,200.0,1,50000
100041,61,F,276300.0,890,Salaried,10.7,Graduate,Married,Living with Parents,3500.0,0,500000
100042,57,F,474900.0,751,Salaried,12.7,Post Graduate,Married,Owned,5900.0,0,300000
100043,38,M,702500.0,628,Salaried,2.4,High School,Single,Rented,3300.0,2,75000
100044,21,F,308400.0,760,Self-employed,0.0,Post Graduate,Married,Rented,3500.0,3,500000
100045,73,F,798000.0,747,Salaried,15.9,Post Graduate,Married,Living with Parents,8100.0,2,200000
100046,43,M,464900.0,504,Salaried,8.5,Graduate,Married,Owned,4400.0,4,300000
100047,68,F,530500.0,627,Self-employed,10.5,Graduate,Married,Owned,5600.0,0,150000
100048,56,F,90000.0,853,Student,2.0,High School,Widowed,Rented,1400.0,5,100000
100049,62,M,614000.0,746,Salaried,9.3,High School,Married,Company Provided,8600.0,1,300000
100050,61,F,692200.0,874,Salaried,10.8,Graduate,Married,Living with Parents,15000.0,3,25000
100051,29,M,0.0,597,Retired,5.7,High School,Married,Living with Parents,0.0,0,200000
100052,38,F,895300.0,761,Salaried,5.8,Post Graduate,Divorced,Rented,16700.0,7,500000
100053,44,F,74200.0,716,Retired,12.8,Graduate,Single,Rented,300.0,3,500000
100054,46,F,539300.0,631,Salaried,8.2,Below High School,Single,Living with Parents,7700.0,2,75000
100055,20,M,231700.0,706,Salaried,3.5,High School,Divorced,Living with Parents,2500.0,1,100000
100056,49,F,594300.0,673,Salaried,11.7,Post Graduate,Single,Living with Parents,10800.0,1,50000
100057,26,M,200300.0,787,Salaried,2.4,High School,Widowed,Living with Parents,3000.0,2,150000
100058,60,M,182000.0,764,Retired,8.7,Graduate,Married,Living with Parents,4300.0,0,200000
100059,56,M,605700.0,707,Self-employed,11.1,High School,Single,Owned,4300.0,3,300000
100060,70,F,183100.0,769,Retired,14.0,Post Graduate,Single,Owned,1600.0,1,300000
100061,60,M,757300.0,727,Self-employed,10.9,Graduate,Divorced,Company Provided,11800.0,1,150000
100062,38,M,656500.0,591,Salaried,6.5,Graduate,Married,Rented,8200.0,0,75000
100063,73,F,0.0,541,Unemployed,0.0,Graduate,Single,Owned,0.0,0,100000
100064,41,M,423000.0,682,Retired,4.3,High School,Married,Rented,6700.0,6,100000
100065,36,M,780400.0,702,Salaried,2.4,Graduate,Single,Rented,7800.0,6,100000
100066,69,M,211300.0,735,Self-employed,14.5,Below High School,Married,Living with Parents,3500.0,5,75000
100067,39,M,0.0,650,Retired,4.0,High School,Married,Living with Parents,0.0,7,300000
100068,22,F,394700.0,638,Salaried,0.0,High School,Single,Owned,4500.0,3,200000
100069,44,M,966900.0,673,Salaried,8.2,Graduate,Married,Rented,13900.0,2,500000
100070,63,M,1244200.0,859,Salaried,12.2,Post Graduate,Married,Owned,18000.0,3,25000
100071,28,F,90000.0,695,Student,2.0,High School,Married,Living with Parents,1600.0,3,50000
100072,44,F,591500.0,697,Self-employed,4.5,Post Graduate,Single,Owned,6900.0,0,25000
100073,25,F,799700.0,650,Self-employed,0.0,Post Graduate,Single,Rented,13000.0,2,50000
100074,57,F,296800.0,669,Retired,17.8,High School,Single,Rented,3800.0,3,25000
100075,45,F,476200.0,737,Salaried,6.0,High School,Married,Rented,8700.0,3,50000
100076,36,M,40000.0,745,Unemployed,0.0,High School,Single,Rented,100.0,3,150000
100077,30,F,1098800.0,707,Salaried,4.6,High School,Single,Rented,0.0,0,50000
100078,50,F,944500.0,681,Self-employed,7.5,Graduate,Married,Rented,20500.0,2,150000
100079,56,M,1020100.0,900,Salaried,12.1,Graduate,Married,Owned,9700.0,3,25000
100080,71,M,234700.0,712,Salaried,15.6,Graduate,Married,Owned,500.0,1,200000
100081,42,M,815700.0,682,Salaried,8.8,Graduate,Married,Rented,10000.0,3,300000
100082,27,F,272600.0,652,Salaried,2.4,High School,Married,Owned,2700.0,2,300000
100083,65,F,1079400.0,753,Salaried,13.4,Post Graduate,Married,Living with Parents,17000.0,2,75000
100084,53,F,923700.0,875,Salaried,13.9,Graduate,Married,Owned,15300.0,7,75000
100085,57,M,727800.0,569,Self-employed,5.0,High School,Married,Living with Parents,7700.0,6,100000
