ID,MONTHS_BALANCE,STATUS
100000,0,X
100000,-1,X
100000,-2,X
100000,-3,C
100000,-4,C
100000,-5,X
100000,-6,X
100000,-7,C
100000,-8,X
100001,0,X
100001,-1,C
100001,-2,C
100001,-3,C
100001,-4,C
100001,-5,C
100001,-6,X
100001,-7,4
100001,-8,C
100001,-9,0
100001,-10,C
100001,-11,C
100001,-12,3
100001,-13,X
100001,-14,C
100001,-15,X
100001,-16,C
100001,-17,C
100001,-18,C
100001,-19,C
100001,-20,C
100001,-21,C
100002,0,C
100002,-1,C
100002,-2,X
100002,-3,C
100002,-4,C
100002,-5,C
100002,-6,C
100002,-7,1
100002,-8,C
100002,-9,C
100002,-10,C
100002,-11,C
100002,-12,C
100002,-13,C
100002,-14,C
100002,-15,C
100002,-16,C
100003,0,X
100003,-1,X
100003,-2,C
100003,-3,C
100003,-4,C
100003,-5,C
100003,-6,C
100003,-7,X
100003,-8,C
100003,-9,C
100003,-10,C
100003,-11,1
100004,0,C
100004,-1,C
100004,-2,C
100004,-3,C
100004,-4,X
100004,-5,X
100005,0,C
100005,-1,C
100005,-2,C
100005,-3,X
100005,-4,C
100005,-5,X
100005,-6,C
100005,-7,1
100005,-8,C
100005,-9,C
100006,0,3
100006,-1,3
100006,-2,X
100006,-3,0
100006,-4,X
100006,-5,X
100006,-6,1
100006,-7,C
100006,-8,C
100006,-9,4
100007,0,C
100007,-1,X
100007,-2,C
100007,-3,C
100007,-4,C
100007,-5,C
100007,-6,4
100007,-7,C
100008,0,C
100008,-1,C
100008,-2,C
100008,-3,C
100008,-4,C
100008,-5,0
100009,0,C
100009,-1,C
100009,-2,C
100009,-3,0
100009,-4,C
100009,-5,C
100009,-6,C
100009,-7,X
100009,-8,C
100009,-9,C
100009,-10,C
100009,-11,C
100009,-12,C
100009,-13,C
100009,-14,C
100010,0,C
100010,-1,C
100010,-2,C
100010,-3,C
100010,-4,1
100010,-5,C
100010,-6,C
100010,-7,C
100010,-8,C
100010,-9,C
100010,-10,0
100010,-11,X
100010,-12,C
100010,-13,C
100010,-14,C
100010,-15,1
100010,-16,4
100010,-17,C
100010,-18,C
100010,-19,X
100010,-20,C
100011,0,C
100011,-1,X
100011,-2,1
100011,-3,0
100011,-4,1
100011,-5,C
100011,-6,C
100011,-7,X
100011,-8,C
100011,-9,C
100011,-10,0
100011,-11,1
100011,-12,C
100012,0,0
100012,-1,1
100012,-2,1
100012,-3,C
100012,-4,C
100012,-5,C
100012,-6,C
100012,-7,C
100012,-8,C
100012,-9,C
100012,-10,X
100012,-11,X
100012,-12,C
100013,0,C
100013,-1,C
100013,-2,X
100013,-3,X
100013,-4,4
100013,-5,C
100013,-6,X
100013,-7,C
100013,-8,X
100013,-9,3
100014,0,C
100014,-1,0
100014,-2,0
100014,-3,X
100014,-4,X
100014,-5,C
100014,-6,C
100014,-7,C
100014,-8,C
100014,-9,C
100014,-10,X
100014,-11,X
100014,-12,X
100014,-13,C
100014,-14,C
100014,-15,X
100014,-16,C
100015,0,X
100015,-1,C
100015,-2,X
100015,-3,X
100015,-4,C
100015,-5,C
100015,-6,X
100015,-7,C
100015,-8,X
100015,-9,0
100015,-10,X
100015,-11,X
100015,-12,C
100015,-13,C
100015,-14,C
100015,-15,C
100015,-16,C
100015,-17,C
100015,-18,C
100016,0,C
100016,-1,C
100016,-2,C
100016,-3,C
100016,-4,C
100016,-5,5
100016,-6,0
100016,-7,C
100016,-8,4
100016,-9,C
100016,-10,X
100016,-11,C
100016,-12,5
100016,-13,C
100016,-14,1
100016,-15,C
100016,-16,C
100016,-17,X
100017,0,4
100017,-1,C
100017,-2,C
100017,-3,3
100017,-4,C
100017,-5,0
100017,-6,X
100017,-7,X
100017,-8,X
100017,-9,0
100017,-10,X
100017,-11,X
100017,-12,C
100017,-13,5
100018,0,C
100018,-1,1
100018,-2,X
100018,-3,X
100018,-4,C
100018,-5,C
100018,-6,2
100018,-7,C
100018,-8,C
100019,0,X
100019,-1,X
100019,-2,X
100019,-3,1
100019,-4,C
100019,-5,X
100019,-6,C
100019,-7,C
100019,-8,1
100019,-9,C
100019,-10,C
100019,-11,C
100019,-12,C
100019,-13,C
100020,0,C
100020,-1,X
100020,-2,C
100020,-3,1
100020,-4,C
100020,-5,C
100020,-6,C
100020,-7,0
100020,-8,C
100020,-9,X
100020,-10,C
100020,-11,C
100020,-12,C
100020,-13,C
100021,0,C
100021,-1,X
100021,-2,C
100021,-3,X
100021,-4,0
100021,-5,C
100021,-6,1
100021,-7,X
100021,-8,C
100021,-9,X
